origin	variety	Yield Potential	Quality potential at high altitude	Optimal Altitude	Coffee leaf rust	Nematode	Coffee Berry Disease
Brazylia	catuai	Good	Good	High	Susceptible	Susceptible	Susceptible
Brazylia	catuai	Good	Good	High	Susceptible	Susceptible	Susceptible
Brazylia	mundo novo	High	Good	High	Susceptible	Susceptible	Susceptible
Brazylia	catuai	Good	Good	High	Susceptible	Susceptible	Susceptible
Brazylia	catuai	Good	Good	High	Susceptible	Susceptible	Susceptible
Brazylia	catuai	Good	Good	High	Susceptible	Susceptible	Susceptible
Brazylia	catuai	Good	Good	High	Susceptible	Susceptible	Susceptible
Brazylia	catuai	Good	Good	High	Susceptible	Susceptible	Susceptible
Brazylia	catimor 129	Very High	Good	High	Resistant	Susceptible	Resistant
Brazylia	catuai	Good	Good	High	Susceptible	Susceptible	Susceptible
Brazylia	obata	High	Good	Low, Medium	Resistant	Unknown	Unknown
Brazylia	obata	High	Good	Low, Medium	Resistant	Unknown	Unknown
Brazylia	catuai	Good	Good	High	Susceptible	Susceptible	Susceptible
Brazylia	catuai	Good	Good	High	Susceptible	Susceptible	Susceptible
Brazylia	bourbon	Medium	Very Good	High	Susceptible	Susceptible	Susceptible
Brazylia	bourbon	Medium	Very Good	High	Susceptible	Susceptible	Susceptible
Brazylia	catuai	Good	Good	High	Susceptible	Susceptible	Susceptible
Brazylia	catuai	Good	Good	High	Susceptible	Susceptible	Susceptible
Brazylia	catuai	Good	Good	High	Susceptible	Susceptible	Susceptible
Brazylia	bourbon	Medium	Very Good	High	Susceptible	Susceptible	Susceptible
Brazylia	catuai	Good	Good	High	Susceptible	Susceptible	Susceptible
Brazylia	bourbon	Medium	Very Good	High	Susceptible	Susceptible	Susceptible
Brazylia	catuai	Good	Good	High	Susceptible	Susceptible	Susceptible
Brazylia	bourbon	Medium	Very Good	High	Susceptible	Susceptible	Susceptible
Brazylia	catuai	Good	Good	High	Susceptible	Susceptible	Susceptible
Brazylia	catuai	Good	Good	High	Susceptible	Susceptible	Susceptible
Brazylia	catuai	Good	Good	High	Susceptible	Susceptible	Susceptible
Brazylia	catuai	Good	Good	High	Susceptible	Susceptible	Susceptible
Brazylia	catimor 129	Very High	Good	High	Resistant	Susceptible	Resistant
Brazylia	catuai	Good	Good	High	Susceptible	Susceptible	Susceptible
Brazylia	catuai	Good	Good	High	Susceptible	Susceptible	Susceptible
Brazylia	catuai	Good	Good	High	Susceptible	Susceptible	Susceptible
Brazylia	catuai	Good	Good	High	Susceptible	Susceptible	Susceptible
Brazylia	catuai	Good	Good	High	Susceptible	Susceptible	Susceptible
Brazylia	catuai	Good	Good	High	Susceptible	Susceptible	Susceptible
Brazylia	catuai	Good	Good	High	Susceptible	Susceptible	Susceptible
Brazylia	catuai	Good	Good	High	Susceptible	Susceptible	Susceptible
Brazylia	catuai	Good	Good	High	Susceptible	Susceptible	Susceptible
Brazylia	catuai	Good	Good	High	Susceptible	Susceptible	Susceptible
Brazylia	bourbon	Medium	Very Good	High	Susceptible	Susceptible	Susceptible
Brazylia	caturra	Good	Good	High	Susceptible	Susceptible	Susceptible
Brazylia	catuai	Good	Good	High	Susceptible	Susceptible	Susceptible
Brazylia	catuai	Good	Good	High	Susceptible	Susceptible	Susceptible
Brazylia	catuai	Good	Good	High	Susceptible	Susceptible	Susceptible
Brazylia	catuai	Good	Good	High	Susceptible	Susceptible	Susceptible
Brazylia	catuai	Good	Good	High	Susceptible	Susceptible	Susceptible
Brazylia	catuai	Good	Good	High	Susceptible	Susceptible	Susceptible
Brazylia	catuai	Good	Good	High	Susceptible	Susceptible	Susceptible
Brazylia	catuai	Good	Good	High	Susceptible	Susceptible	Susceptible
Brazylia	catuai	Good	Good	High	Susceptible	Susceptible	Susceptible
Brazylia	catuai	Good	Good	High	Susceptible	Susceptible	Susceptible
Brazylia	catuai	Good	Good	High	Susceptible	Susceptible	Susceptible
Brazylia	catuai	Good	Good	High	Susceptible	Susceptible	Susceptible
Brazylia	catuai	Good	Good	High	Susceptible	Susceptible	Susceptible
Brazylia	catuai	Good	Good	High	Susceptible	Susceptible	Susceptible
Brazylia	bourbon	Medium	Very Good	High	Susceptible	Susceptible	Susceptible
Brazylia	mundo novo	High	Good	High	Susceptible	Susceptible	Susceptible
Brazylia	bourbon	Medium	Very Good	High	Susceptible	Susceptible	Susceptible
Brazylia	mundo novo	High	Good	High	Susceptible	Susceptible	Susceptible
Brazylia	catuai	Good	Good	High	Susceptible	Susceptible	Susceptible
Brazylia	catuai	Good	Good	High	Susceptible	Susceptible	Susceptible
Brazylia	mundo novo	High	Good	High	Susceptible	Susceptible	Susceptible
Brazylia	catuai	Good	Good	High	Susceptible	Susceptible	Susceptible
Brazylia	catuai	Good	Good	High	Susceptible	Susceptible	Susceptible
Brazylia	catuai	Good	Good	High	Susceptible	Susceptible	Susceptible
Brazylia	catuai	Good	Good	High	Susceptible	Susceptible	Susceptible
Brazylia	catuai	Good	Good	High	Susceptible	Susceptible	Susceptible
Brazylia	catuai	Good	Good	High	Susceptible	Susceptible	Susceptible
Brazylia	catuai	Good	Good	High	Susceptible	Susceptible	Susceptible
Brazylia	catuai	Good	Good	High	Susceptible	Susceptible	Susceptible
Brazylia	bourbon	Medium	Very Good	High	Susceptible	Susceptible	Susceptible
Brazylia	bourbon	Medium	Very Good	High	Susceptible	Susceptible	Susceptible
Brazylia	catuai	Good	Good	High	Susceptible	Susceptible	Susceptible
Brazylia	catuai	Good	Good	High	Susceptible	Susceptible	Susceptible
Brazylia	mundo novo	High	Good	High	Susceptible	Susceptible	Susceptible
Brazylia	catuai	Good	Good	High	Susceptible	Susceptible	Susceptible
Brazylia	catuai	Good	Good	High	Susceptible	Susceptible	Susceptible
Brazylia	catuai	Good	Good	High	Susceptible	Susceptible	Susceptible
Brazylia	catuai	Good	Good	High	Susceptible	Susceptible	Susceptible
Brazylia	catuai	Good	Good	High	Susceptible	Susceptible	Susceptible
Brazylia	bourbon	Medium	Very Good	High	Susceptible	Susceptible	Susceptible
Brazylia	catuai	Good	Good	High	Susceptible	Susceptible	Susceptible
Brazylia	catuai	Good	Good	High	Susceptible	Susceptible	Susceptible
Brazylia	catuai	Good	Good	High	Susceptible	Susceptible	Susceptible
Brazylia	catuai	Good	Good	High	Susceptible	Susceptible	Susceptible
Brazylia	mundo novo	High	Good	High	Susceptible	Susceptible	Susceptible
Brazylia	catuai	Good	Good	High	Susceptible	Susceptible	Susceptible
Brazylia	catimor 129	Very High	Good	High	Resistant	Susceptible	Resistant
Brazylia	catuai	Good	Good	High	Susceptible	Susceptible	Susceptible
Brazylia	catuai	Good	Good	High	Susceptible	Susceptible	Susceptible
Brazylia	catuai	Good	Good	High	Susceptible	Susceptible	Susceptible
Brazylia	catuai	Good	Good	High	Susceptible	Susceptible	Susceptible
Brazylia	catuai	Good	Good	High	Susceptible	Susceptible	Susceptible
Brazylia	catuai	Good	Good	High	Susceptible	Susceptible	Susceptible
Brazylia	catuai	Good	Good	High	Susceptible	Susceptible	Susceptible
Brazylia	catuai	Good	Good	High	Susceptible	Susceptible	Susceptible
Brazylia	catuai	Good	Good	High	Susceptible	Susceptible	Susceptible
Brazylia	catuai	Good	Good	High	Susceptible	Susceptible	Susceptible
Brazylia	catuai	Good	Good	High	Susceptible	Susceptible	Susceptible
Brazylia	catuai	Good	Good	High	Susceptible	Susceptible	Susceptible
Brazylia	catuai	Good	Good	High	Susceptible	Susceptible	Susceptible
Brazylia	bourbon	Medium	Very Good	High	Susceptible	Susceptible	Susceptible
Brazylia	mundo novo	High	Good	High	Susceptible	Susceptible	Susceptible
Brazylia	nemaya	Not applicable	Not applicable	Not applicable	Not applicable	Resistant	Unknown
Brazylia	catuai	Good	Good	High	Susceptible	Susceptible	Susceptible
Brazylia	catuai	Good	Good	High	Susceptible	Susceptible	Susceptible
Brazylia	catuai	Good	Good	High	Susceptible	Susceptible	Susceptible
Brazylia	catuai	Good	Good	High	Susceptible	Susceptible	Susceptible
Brazylia	catuai	Good	Good	High	Susceptible	Susceptible	Susceptible
Brazylia	catuai	Good	Good	High	Susceptible	Susceptible	Susceptible
Brazylia	catuai	Good	Good	High	Susceptible	Susceptible	Susceptible
Brazylia	catuai	Good	Good	High	Susceptible	Susceptible	Susceptible
Brazylia	catuai	Good	Good	High	Susceptible	Susceptible	Susceptible
Brazylia	mundo novo	High	Good	High	Susceptible	Susceptible	Susceptible
Brazylia	bourbon	Medium	Very Good	High	Susceptible	Susceptible	Susceptible
Brazylia	catuai	Good	Good	High	Susceptible	Susceptible	Susceptible
Brazylia	catuai	Good	Good	High	Susceptible	Susceptible	Susceptible
Brazylia	catuai	Good	Good	High	Susceptible	Susceptible	Susceptible
Brazylia	bourbon	Medium	Very Good	High	Susceptible	Susceptible	Susceptible
Brazylia	mundo novo	High	Good	High	Susceptible	Susceptible	Susceptible
Brazylia	nemaya	Not applicable	Not applicable	Not applicable	Not applicable	Resistant	Unknown
Brazylia	bourbon	Medium	Very Good	High	Susceptible	Susceptible	Susceptible
Brazylia	mundo novo	High	Good	High	Susceptible	Susceptible	Susceptible
Brazylia	nemaya	Not applicable	Not applicable	Not applicable	Not applicable	Resistant	Unknown
Brazylia	bourbon	Medium	Very Good	High	Susceptible	Susceptible	Susceptible
Brazylia	catuai	Good	Good	High	Susceptible	Susceptible	Susceptible
Brazylia	bourbon	Medium	Very Good	High	Susceptible	Susceptible	Susceptible
Brazylia	catuai	Good	Good	High	Susceptible	Susceptible	Susceptible
Brazylia	catuai	Good	Good	High	Susceptible	Susceptible	Susceptible
Brazylia	catuai	Good	Good	High	Susceptible	Susceptible	Susceptible
Brazylia	catuai	Good	Good	High	Susceptible	Susceptible	Susceptible
Brazylia	catuai	Good	Good	High	Susceptible	Susceptible	Susceptible
Brazylia	catuai	Good	Good	High	Susceptible	Susceptible	Susceptible
Brazylia	catuai	Good	Good	High	Susceptible	Susceptible	Susceptible
Brazylia	catuai	Good	Good	High	Susceptible	Susceptible	Susceptible
Brazylia	catuai	Good	Good	High	Susceptible	Susceptible	Susceptible
Brazylia	catuai	Good	Good	High	Susceptible	Susceptible	Susceptible
Brazylia	catuai	Good	Good	High	Susceptible	Susceptible	Susceptible
Brazylia	catuai	Good	Good	High	Susceptible	Susceptible	Susceptible
Brazylia	catuai	Good	Good	High	Susceptible	Susceptible	Susceptible
Brazylia	catuai	Good	Good	High	Susceptible	Susceptible	Susceptible
Brazylia	catuai	Good	Good	High	Susceptible	Susceptible	Susceptible
Brazylia	catuai	Good	Good	High	Susceptible	Susceptible	Susceptible
Brazylia	catuai	Good	Good	High	Susceptible	Susceptible	Susceptible
Brazylia	catuai	Good	Good	High	Susceptible	Susceptible	Susceptible
Brazylia	catuai	Good	Good	High	Susceptible	Susceptible	Susceptible
Brazylia	catuai	Good	Good	High	Susceptible	Susceptible	Susceptible
Brazylia	catuai	Good	Good	High	Susceptible	Susceptible	Susceptible
Brazylia	caturra	Good	Good	High	Susceptible	Susceptible	Susceptible
Brazylia	catuai	Good	Good	High	Susceptible	Susceptible	Susceptible
Brazylia	catuai	Good	Good	High	Susceptible	Susceptible	Susceptible
Brazylia	catuai	Good	Good	High	Susceptible	Susceptible	Susceptible
Brazylia	catuai	Good	Good	High	Susceptible	Susceptible	Susceptible
Brazylia	catuai	Good	Good	High	Susceptible	Susceptible	Susceptible
Brazylia	catuai	Good	Good	High	Susceptible	Susceptible	Susceptible
Brazylia	catuai	Good	Good	High	Susceptible	Susceptible	Susceptible
Brazylia	catuai	Good	Good	High	Susceptible	Susceptible	Susceptible
Brazylia	catuai	Good	Good	High	Susceptible	Susceptible	Susceptible
Brazylia	catuai	Good	Good	High	Susceptible	Susceptible	Susceptible
Brazylia	catuai	Good	Good	High	Susceptible	Susceptible	Susceptible
Brazylia	catuai	Good	Good	High	Susceptible	Susceptible	Susceptible
Brazylia	catuai	Good	Good	High	Susceptible	Susceptible	Susceptible
Brazylia	catuai	Good	Good	High	Susceptible	Susceptible	Susceptible
Etiopia	heirloom	high	Good	Medium, High	Tolerant	Tolerant	Tolerant
Etiopia	heirloom	high	Good	Medium, High	Tolerant	Tolerant	Tolerant
Etiopia	heirloom	high	Good	Medium, High	Tolerant	Tolerant	Tolerant
Etiopia	heirloom	high	Good	Medium, High	Tolerant	Tolerant	Tolerant
Etiopia	heirloom	high	Good	Medium, High	Tolerant	Tolerant	Tolerant
Etiopia	heirloom	high	Good	Medium, High	Tolerant	Tolerant	Tolerant
Etiopia	heirloom	high	Good	Medium, High	Tolerant	Tolerant	Tolerant
Etiopia	heirloom	high	Good	Medium, High	Tolerant	Tolerant	Tolerant
Etiopia	heirloom	high	Good	Medium, High	Tolerant	Tolerant	Tolerant
Etiopia	heirloom	high	Good	Medium, High	Tolerant	Tolerant	Tolerant
Etiopia	heirloom	high	Good	Medium, High	Tolerant	Tolerant	Tolerant
Etiopia	heirloom	high	Good	Medium, High	Tolerant	Tolerant	Tolerant
Etiopia	heirloom	high	Good	Medium, High	Tolerant	Tolerant	Tolerant
Etiopia	heirloom	high	Good	Medium, High	Tolerant	Tolerant	Tolerant
Etiopia	heirloom	high	Good	Medium, High	Tolerant	Tolerant	Tolerant
Etiopia	heirloom	high	Good	Medium, High	Tolerant	Tolerant	Tolerant
Etiopia	heirloom	high	Good	Medium, High	Tolerant	Tolerant	Tolerant
Etiopia	heirloom	high	Good	Medium, High	Tolerant	Tolerant	Tolerant
Etiopia	heirloom	high	Good	Medium, High	Tolerant	Tolerant	Tolerant
Etiopia	heirloom	high	Good	Medium, High	Tolerant	Tolerant	Tolerant
Etiopia	heirloom	high	Good	Medium, High	Tolerant	Tolerant	Tolerant
Etiopia	heirloom	high	Good	Medium, High	Tolerant	Tolerant	Tolerant
Etiopia	heirloom	high	Good	Medium, High	Tolerant	Tolerant	Tolerant
Etiopia	heirloom	high	Good	Medium, High	Tolerant	Tolerant	Tolerant
Etiopia	heirloom	high	Good	Medium, High	Tolerant	Tolerant	Tolerant
Etiopia	heirloom	high	Good	Medium, High	Tolerant	Tolerant	Tolerant
Etiopia	heirloom	high	Good	Medium, High	Tolerant	Tolerant	Tolerant
Etiopia	heirloom	high	Good	Medium, High	Tolerant	Tolerant	Tolerant
Etiopia	heirloom	high	Good	Medium, High	Tolerant	Tolerant	Tolerant
Etiopia	heirloom	high	Good	Medium, High	Tolerant	Tolerant	Tolerant
Etiopia	heirloom	high	Good	Medium, High	Tolerant	Tolerant	Tolerant
Etiopia	heirloom	high	Good	Medium, High	Tolerant	Tolerant	Tolerant
Etiopia	heirloom	high	Good	Medium, High	Tolerant	Tolerant	Tolerant
Etiopia	heirloom	high	Good	Medium, High	Tolerant	Tolerant	Tolerant
Etiopia	heirloom	high	Good	Medium, High	Tolerant	Tolerant	Tolerant
Etiopia	heirloom	high	Good	Medium, High	Tolerant	Tolerant	Tolerant
Etiopia	heirloom	high	Good	Medium, High	Tolerant	Tolerant	Tolerant
Etiopia	heirloom	high	Good	Medium, High	Tolerant	Tolerant	Tolerant
Etiopia	heirloom	high	Good	Medium, High	Tolerant	Tolerant	Tolerant
Etiopia	heirloom	high	Good	Medium, High	Tolerant	Tolerant	Tolerant
